"year","month","total_uploads","creator","...4"
"2020","1",0,"Spencer Hunt",NA
"2021","1",2,"Spencer Hunt",NA
"2022","1",0,"Spencer Hunt",NA
"2020","3",0,"Spencer Hunt",NA
"2021","3",6,"Spencer Hunt",NA
"2022","3",0,"Spencer Hunt",NA
"2020","4",2,"Spencer Hunt",NA
"2021","4",0,"Spencer Hunt",NA
"2022","4",0,"Spencer Hunt",NA
"2020","8",0,"Spencer Hunt",NA
"2021","8",6,"Spencer Hunt",NA
"2022","8",28,"Spencer Hunt",NA
"2020","9",0,"Spencer Hunt",NA
"2021","9",0,"Spencer Hunt",NA
"2022","9",105,"Spencer Hunt",NA
"2020","10",0,"Spencer Hunt",NA
"2021","10",0,"Spencer Hunt",NA
"2022","10",96,"Spencer Hunt",NA
"2020","11",0,"Spencer Hunt",NA
"2021","11",0,"Spencer Hunt",NA
"2022","11",101,"Spencer Hunt",NA
"2020","12",2,"Spencer Hunt",NA
"2021","12",0,"Spencer Hunt",NA
"2022","12",109,"Spencer Hunt",NA
"2020","1",1,"Liza Koshy",NA
"2021","1",9,"Liza Koshy",NA
"2022","1",0,"Liza Koshy",NA
"2020","2",6,"Liza Koshy",NA
"2021","2",1,"Liza Koshy",NA
"2022","2",1,"Liza Koshy",NA
"2020","3",17,"Liza Koshy",NA
"2021","3",1,"Liza Koshy",NA
"2022","3",3,"Liza Koshy",NA
"2020","4",8,"Liza Koshy",NA
"2021","4",0,"Liza Koshy",NA
"2022","4",5,"Liza Koshy",NA
"2020","5",12,"Liza Koshy",NA
"2021","5",0,"Liza Koshy",NA
"2022","5",2,"Liza Koshy",NA
"2020","6",4,"Liza Koshy",NA
"2021","6",0,"Liza Koshy",NA
"2022","6",3,"Liza Koshy",NA
"2020","7",3,"Liza Koshy",NA
"2021","7",1,"Liza Koshy",NA
"2022","7",3,"Liza Koshy",NA
"2020","8",8,"Liza Koshy",NA
"2021","8",5,"Liza Koshy",NA
"2022","8",1,"Liza Koshy",NA
"2020","9",4,"Liza Koshy",NA
"2021","9",3,"Liza Koshy",NA
"2022","9",1,"Liza Koshy",NA
"2020","10",8,"Liza Koshy",NA
"2021","10",4,"Liza Koshy",NA
"2022","10",2,"Liza Koshy",NA
"2020","11",5,"Liza Koshy",NA
"2021","11",2,"Liza Koshy",NA
"2022","11",1,"Liza Koshy",NA
"2020","12",4,"Liza Koshy",NA
"2021","12",2,"Liza Koshy",NA
"2022","12",3,"Liza Koshy",NA
"2020","1",0,"Caitlin Reilly",NA
"2021","1",5,"Caitlin Reilly",NA
"2022","1",2,"Caitlin Reilly",NA
"2020","2",4,"Caitlin Reilly",NA
"2021","2",8,"Caitlin Reilly",NA
"2022","2",2,"Caitlin Reilly",NA
"2020","3",5,"Caitlin Reilly",NA
"2021","3",7,"Caitlin Reilly",NA
"2022","3",5,"Caitlin Reilly",NA
"2020","4",13,"Caitlin Reilly",NA
"2021","4",4,"Caitlin Reilly",NA
"2022","4",2,"Caitlin Reilly",NA
"2020","5",13,"Caitlin Reilly",NA
"2021","5",5,"Caitlin Reilly",NA
"2022","5",2,"Caitlin Reilly",NA
"2020","6",8,"Caitlin Reilly",NA
"2021","6",4,"Caitlin Reilly",NA
"2022","6",4,"Caitlin Reilly",NA
"2020","7",12,"Caitlin Reilly",NA
"2021","7",2,"Caitlin Reilly",NA
"2022","7",3,"Caitlin Reilly",NA
"2020","8",10,"Caitlin Reilly",NA
"2021","8",3,"Caitlin Reilly",NA
"2022","8",1,"Caitlin Reilly",NA
"2020","9",8,"Caitlin Reilly",NA
"2021","9",1,"Caitlin Reilly",NA
"2022","9",1,"Caitlin Reilly",NA
"2020","10",6,"Caitlin Reilly",NA
"2021","10",3,"Caitlin Reilly",NA
"2022","10",4,"Caitlin Reilly",NA
"2020","11",8,"Caitlin Reilly",NA
"2021","11",2,"Caitlin Reilly",NA
"2022","11",2,"Caitlin Reilly",NA
"2020","12",8,"Caitlin Reilly",NA
"2021","12",2,"Caitlin Reilly",NA
"2022","12",1,"Caitlin Reilly",NA
"2020","1",7,NA,"Adam Waheed"
"2021","1",13,NA,"Adam Waheed"
"2022","1",16,NA,"Adam Waheed"
"2020","2",8,NA,"Adam Waheed"
"2021","2",15,NA,"Adam Waheed"
"2022","2",18,NA,"Adam Waheed"
"2020","3",20,NA,"Adam Waheed"
"2021","3",15,NA,"Adam Waheed"
"2022","3",18,NA,"Adam Waheed"
"2020","4",17,NA,"Adam Waheed"
"2021","4",12,NA,"Adam Waheed"
"2022","4",19,NA,"Adam Waheed"
"2020","5",20,NA,"Adam Waheed"
"2021","5",11,NA,"Adam Waheed"
"2022","5",16,NA,"Adam Waheed"
"2020","6",23,NA,"Adam Waheed"
"2021","6",13,NA,"Adam Waheed"
"2022","6",19,NA,"Adam Waheed"
"2020","7",20,NA,"Adam Waheed"
"2021","7",9,NA,"Adam Waheed"
"2022","7",21,NA,"Adam Waheed"
"2020","8",24,NA,"Adam Waheed"
"2021","8",11,NA,"Adam Waheed"
"2022","8",16,NA,"Adam Waheed"
"2020","9",26,NA,"Adam Waheed"
"2021","9",15,NA,"Adam Waheed"
"2022","9",15,NA,"Adam Waheed"
"2020","10",21,NA,"Adam Waheed"
"2021","10",16,NA,"Adam Waheed"
"2022","10",10,NA,"Adam Waheed"
"2020","11",21,NA,"Adam Waheed"
"2021","11",15,NA,"Adam Waheed"
"2022","11",15,NA,"Adam Waheed"
"2020","12",22,NA,"Adam Waheed"
"2021","12",17,NA,"Adam Waheed"
"2022","12",10,NA,"Adam Waheed"
"2020","1",15,"Daniel Labelle",NA
"2021","1",13,"Daniel Labelle",NA
"2022","1",6,"Daniel Labelle",NA
"2020","2",18,"Daniel Labelle",NA
"2021","2",10,"Daniel Labelle",NA
"2022","2",5,"Daniel Labelle",NA
"2020","3",20,"Daniel Labelle",NA
"2021","3",12,"Daniel Labelle",NA
"2022","3",5,"Daniel Labelle",NA
"2020","4",15,"Daniel Labelle",NA
"2021","4",9,"Daniel Labelle",NA
"2022","4",7,"Daniel Labelle",NA
"2020","5",21,"Daniel Labelle",NA
"2021","5",8,"Daniel Labelle",NA
"2022","5",6,"Daniel Labelle",NA
"2020","6",12,"Daniel Labelle",NA
"2021","6",8,"Daniel Labelle",NA
"2022","6",5,"Daniel Labelle",NA
"2020","7",16,"Daniel Labelle",NA
"2021","7",5,"Daniel Labelle",NA
"2022","7",5,"Daniel Labelle",NA
"2020","8",11,"Daniel Labelle",NA
"2021","8",7,"Daniel Labelle",NA
"2022","8",6,"Daniel Labelle",NA
"2020","9",11,"Daniel Labelle",NA
"2021","9",5,"Daniel Labelle",NA
"2022","9",4,"Daniel Labelle",NA
"2020","10",11,"Daniel Labelle",NA
"2021","10",7,"Daniel Labelle",NA
"2022","10",7,"Daniel Labelle",NA
"2020","11",6,"Daniel Labelle",NA
"2021","11",7,"Daniel Labelle",NA
"2022","11",5,"Daniel Labelle",NA
"2020","12",8,"Daniel Labelle",NA
"2021","12",4,"Daniel Labelle",NA
"2022","12",4,"Daniel Labelle",NA
"2020","1",38,"Hannah Stocking",NA
"2021","1",19,"Hannah Stocking",NA
"2022","1",8,"Hannah Stocking",NA
"2020","2",31,"Hannah Stocking",NA
"2021","2",27,"Hannah Stocking",NA
"2022","2",3,"Hannah Stocking",NA
"2020","3",43,"Hannah Stocking",NA
